station_name,train_length,test_length,split_time,forecast_method,mape
AuroraBridge,168,168,1,pred_forecastHybrid,0.26347898541891
AuroraBridge,168,168,1,pred_prophet,0.412442937834813
AuroraBridge,168,672,1,pred_auto.arima,0.0780324269984061
AuroraBridge,168,672,1,pred_forecastHybrid,0.0741363163722129
AuroraBridge,168,672,1,pred_prophet,0.730800930984208
AuroraBridge,672,4,1,pred_auto.arima,0.029022217169058
AuroraBridge,672,4,1,pred_forecastHybrid,0.0280336148844035
AuroraBridge,672,4,1,pred_prophet,0.0533098672756383
AuroraBridge,672,24,1,pred_auto.arima,0.112423202904585
AuroraBridge,672,24,1,pred_forecastHybrid,0.0549491489430624
AuroraBridge,672,24,1,pred_prophet,0.0458812923329274
AuroraBridge,672,168,1,pred_auto.arima,0.08215777850445
AuroraBridge,672,168,1,pred_forecastHybrid,0.128711432577313
AuroraBridge,672,168,1,pred_prophet,0.200826627338782
AuroraBridge,672,672,1,pred_auto.arima,
AuroraBridge,672,672,1,pred_forecastHybrid,0.0855411777150483
AuroraBridge,672,672,1,pred_prophet,0.313628635662839
AuroraBridge,4032,4,1,pred_auto.arima,0.425868131392074
AuroraBridge,4032,4,1,pred_forecastHybrid,0.0417501848877747
AuroraBridge,4032,4,1,pred_prophet,0.0371667684465455
AuroraBridge,4032,24,1,pred_auto.arima,0.290163025416609
AuroraBridge,4032,24,1,pred_forecastHybrid,0.088077512877645
AuroraBridge,4032,24,1,pred_prophet,0.0695296446608523
AuroraBridge,4032,168,1,pred_auto.arima,0.0843481544613076
AuroraBridge,4032,168,1,pred_forecastHybrid,0.156178165142107
AuroraBridge,4032,168,1,pred_prophet,0.0773320066140237
AuroraBridge,4032,672,1,pred_auto.arima,
AuroraBridge,4032,672,1,pred_forecastHybrid,0.0613015611944088
AuroraBridge,4032,672,1,pred_prophet,0.0524787758628824
HarborAveUpperNorthBridge,24,4,1,pred_auto.arima,0.0916504870724382
HarborAveUpperNorthBridge,24,4,1,pred_forecastHybrid,0.0167054737436771
HarborAveUpperNorthBridge,24,4,1,pred_prophet,0.190864810258805
HarborAveUpperNorthBridge,24,24,1,pred_auto.arima,0.0225643417790324
HarborAveUpperNorthBridge,24,24,1,pred_forecastHybrid,0.102395922194814
HarborAveUpperNorthBridge,24,24,1,pred_prophet,0.250014827266328
HarborAveUpperNorthBridge,24,168,1,pred_auto.arima,0.112458548523878
HarborAveUpperNorthBridge,24,168,1,pred_forecastHybrid,0.319172188271305
HarborAveUpperNorthBridge,24,168,1,pred_prophet,0.185091335763351
HarborAveUpperNorthBridge,24,672,1,pred_auto.arima,0.140818422956603
HarborAveUpperNorthBridge,24,672,1,pred_forecastHybrid,0.159036968015609
HarborAveUpperNorthBridge,24,672,1,pred_prophet,0.738141981360986
HarborAveUpperNorthBridge,168,4,1,pred_auto.arima,0.188402914463521
HarborAveUpperNorthBridge,168,4,1,pred_forecastHybrid,0.0374736292501431
HarborAveUpperNorthBridge,168,4,1,pred_prophet,0.0127418916015948
HarborAveUpperNorthBridge,168,24,1,pred_auto.arima,0.0611426919554937
HarborAveUpperNorthBridge,168,24,1,pred_forecastHybrid,0.0699108041873718
HarborAveUpperNorthBridge,168,24,1,pred_prophet,0.0235407182192774
HarborAveUpperNorthBridge,168,168,1,pred_auto.arima,
HarborAveUpperNorthBridge,168,168,1,pred_forecastHybrid,0.0711896682298007
HarborAveUpperNorthBridge,168,168,1,pred_prophet,0.164237553931174
HarborAveUpperNorthBridge,168,672,1,pred_auto.arima,0.0609347949322682
HarborAveUpperNorthBridge,168,672,1,pred_forecastHybrid,0.0685807638703848
HarborAveUpperNorthBridge,168,672,1,pred_prophet,0.24896029998708
HarborAveUpperNorthBridge,672,4,1,pred_auto.arima,0.180707607421244
HarborAveUpperNorthBridge,672,4,1,pred_forecastHybrid,0.00684548473782303
HarborAveUpperNorthBridge,672,4,1,pred_prophet,0.00488020187110516
HarborAveUpperNorthBridge,672,24,1,pred_auto.arima,0.12725509732337
HarborAveUpperNorthBridge,672,24,1,pred_forecastHybrid,0.071046672245634
HarborAveUpperNorthBridge,672,24,1,pred_prophet,0.0442877429230447
HarborAveUpperNorthBridge,672,168,1,pred_auto.arima,0.16080878472987
HarborAveUpperNorthBridge,672,168,1,pred_forecastHybrid,0.116044440558705
HarborAveUpperNorthBridge,672,168,1,pred_prophet,0.173842387780748
HarborAveUpperNorthBridge,672,672,1,pred_auto.arima,0.125381455135926
HarborAveUpperNorthBridge,672,672,1,pred_forecastHybrid,0.0892623446761814
HarborAveUpperNorthBridge,672,672,1,pred_prophet,0.059346235167359
HarborAveUpperNorthBridge,4032,4,1,pred_auto.arima,0.262465728161671
HarborAveUpperNorthBridge,4032,4,1,pred_forecastHybrid,0.0213991599307405
HarborAveUpperNorthBridge,4032,4,1,pred_prophet,0.118193947880109
HarborAveUpperNorthBridge,4032,24,1,pred_auto.arima,0.0978113657108745
HarborAveUpperNorthBridge,4032,24,1,pred_forecastHybrid,0.149827844919631
HarborAveUpperNorthBridge,4032,24,1,pred_prophet,0.0772736832882285
HarborAveUpperNorthBridge,4032,168,1,pred_auto.arima,0.343680884535282
HarborAveUpperNorthBridge,4032,168,1,pred_forecastHybrid,0.103480099780617
HarborAveUpperNorthBridge,4032,168,1,pred_prophet,0.076141424620463
HarborAveUpperNorthBridge,4032,672,1,pred_auto.arima,0.148406029211753
HarborAveUpperNorthBridge,4032,672,1,pred_forecastHybrid,0.13368418204724
